Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
NA,Colombia,2020-03-07T00:43:02Z,1,0,0,4.5709,-74.2973
NA,Gibraltar,2020-03-04T13:03:13Z,1,0,0,36.1408,-5.3536
NA,Jordan,2020-03-03T15:33:02Z,1,0,0,31.24,36.51
NA,Liechtenstein,2020-03-04T01:33:07Z,1,0,0,47.14,9.55
NA,Lithuania,2020-02-28T16:23:03Z,1,0,0,55.1694,23.8813
Tibet,Mainland China,2020-02-12T06:43:02Z,1,0,1,31.6927,88.0924
NA,Moldova,2020-03-09T14:43:03Z,1,0,0,47.4116,28.3699
NA,Monaco,2020-02-29T00:33:01Z,1,0,0,43.7333,7.4167
NA,Nepal,2020-02-12T14:43:03Z,1,0,1,28.1667,84.25
NA,Paraguay,2020-03-08T09:13:16Z,1,0,0,-23.4425,-58.4438
NA,Saint Barthelemy,2020-03-09T10:43:06Z,1,0,0,17.9,-62.8333
NA,Serbia,2020-03-06T15:43:02Z,1,0,0,44.0165,21.0059
NA,Sri Lanka,2020-02-08T03:43:03Z,1,0,1,7,81
NA,Togo,2020-03-07T02:13:09Z,1,0,0,8.6195,0.8248
"Bennington County, VT",US,2020-03-09T08:53:03Z,1,0,0,43.0279,-73.135
"Berkshire County, MA",US,2020-03-08T00:43:03Z,1,0,0,42.3118,-73.1822
"Carver County, MN",US,2020-03-09T08:43:02Z,1,0,0,44.8254,-93.7842
"Charleston County, SC",US,2020-03-07T01:53:03Z,1,0,0,32.7957,-79.7848
"Charlotte County, FL",US,2020-03-09T08:53:03Z,1,0,0,26.8946,-81.9098
"Chatham County, NC",US,2020-03-06T16:13:15Z,1,0,0,35.7211,-79.1781
"Cherokee County, GA",US,2020-03-09T03:53:03Z,1,0,0,34.2515,-84.4803
"Clark County, WA",US,2020-03-07T20:03:07Z,1,0,0,45.7466,-122.5194
"Collin County, TX",US,2020-03-09T18:53:13Z,1,0,0,33.1795,-96.493
"Davidson County, TN",US,2020-03-08T18:03:06Z,1,0,0,36.1343,-86.822
"Davis County, UT",US,2020-03-07T04:43:02Z,1,0,0,40.9629,-112.0953
"Delaware County, PA",US,2020-03-06T15:33:03Z,1,0,0,39.9078,-75.3879
"Douglas County, OR",US,2020-03-08T19:53:03Z,1,0,0,43.1261,-123.2492
"El Paso County, CO",US,2020-03-07T01:13:21Z,1,0,0,38.9108,-104.4723
"Fairfield County, CT",US,2020-03-08T21:23:03Z,1,0,0,41.256,-73.3709
"Fayette County, KY",US,2020-03-06T23:23:03Z,1,0,0,38.0606,-84.4803
"Fresno County, CA",US,2020-03-08T04:23:15Z,1,0,0,36.9859,-119.2321
"Grant County, WA",US,2020-03-09T08:43:03Z,1,1,0,47.1981,-119.3732
"Harford County, MD",US,2020-03-08T21:53:03Z,1,0,0,39.5839,-76.3637
"Hudson County, NJ",US,2020-03-08T19:43:03Z,1,0,0,40.7453,-74.0535
"Humboldt County, CA",US,2020-02-21T05:13:09Z,1,0,0,40.745,-123.8695
"Jefferson County, KY",US,2020-03-09T00:23:10Z,1,0,0,38.1938,-85.6435
"Jefferson County, WA",US,2020-03-07T16:43:02Z,1,0,0,47.7425,-123.304
"Jefferson Parish, LA",US,2020-03-09T18:53:13Z,1,0,0,29.6499,-90.1121
"Johnson County, KS",US,2020-03-08T00:33:02Z,1,0,0,38.8454,-94.8521
"Kittitas County, WA",US,2020-03-08T00:43:03Z,1,0,0,47.175,-120.9319
"Klamath County, OR",US,2020-03-07T20:13:14Z,1,0,0,42.6953,-121.6142
"Madera County, CA",US,2020-03-07T20:13:14Z,1,0,0,37.2519,-119.6963
"Madison, WI",US,2020-03-03T15:53:03Z,1,0,1,43.0731,-89.4012
"Marion County, IN",US,2020-03-06T17:13:12Z,1,0,0,39.8362,-86.1752
"Marion County, OR",US,2020-03-08T19:43:03Z,1,0,0,44.8446,-122.5927
"Okaloosa County, FL",US,2020-03-08T03:03:08Z,1,0,0,30.5773,-86.6611
"Plymouth County, MA",US,2020-03-07T03:53:03Z,1,0,0,42.1615,-70.7928
"Polk County, GA",US,2020-03-08T04:13:22Z,1,0,0,34.0132,-85.1479
"Ramsey County, MN",US,2020-03-06T23:23:03Z,1,0,0,44.9964,-93.0616
"Riverside County, CA",US,2020-03-08T10:33:03Z,1,0,0,33.9533,-117.3961
"Rockingham County, NH",US,2020-03-09T22:43:25Z,1,0,0,42.9931,-71.0498
"San Antonio, TX",US,2020-02-13T18:53:02Z,1,0,0,29.4241,-98.4936
"Santa Rosa County, FL",US,2020-03-08T15:33:04Z,1,1,0,30.769,-86.9824
"Sarasota, FL",US,2020-03-02T03:23:06Z,1,0,0,27.3364,-82.5307
"Shasta County, CA",US,2020-03-09T03:43:03Z,1,0,0,40.7909,-121.8474
"Shelby County, TN",US,2020-03-08T16:13:36Z,1,0,0,35.1269,-89.9253
"Spartanburg County, SC",US,2020-03-09T00:03:07Z,1,0,0,34.8606,-81.9535
"Spokane County, WA",US,2020-03-08T21:53:04Z,1,0,0,47.6587,-117.4225
"St. Louis County, MO",US,2020-03-08T11:23:08Z,1,0,0,38.6103,-90.4125
"Suffolk County, NY",US,2020-03-08T16:03:05Z,1,0,0,40.9849,-72.6151
"Tulsa County, OK",US,2020-03-07T04:43:02Z,1,0,0,36.1593,-95.941
"Ulster County, NY",US,2020-03-08T16:23:07Z,1,0,0,41.8586,-74.3118
"Umatilla, OR",US,2020-03-02T20:23:16Z,1,0,0,45.775,-118.7606
"Unknown Location, MA",US,2020-03-08T21:23:03Z,1,0,0,42.4072,-71.3824
"Volusia County, FL",US,2020-03-08T03:03:08Z,1,0,0,29.028,-81.0755
"Wake County, NC",US,2020-03-03T20:53:02Z,1,0,0,35.8032,-78.5661
"Wayne County, PA",US,2020-03-06T16:13:15Z,1,0,0,41.6739,-75.2479
"Williamson County, TN",US,2020-03-05T23:33:03Z,1,0,0,35.9179,-86.8622
"Yolo County, CA",US,2020-03-06T20:13:14Z,1,0,0,38.7646,-121.9018
NA,Ukraine,2020-03-03T15:33:02Z,1,0,0,48.3794,31.1656
NA,Vatican City,2020-03-06T15:43:02Z,1,0,0,41.9029,12.4534
From Diamond Princess,Australia,2020-02-29T02:03:10Z,0,0,0,35.4437,139.638
Northern Territory,Australia,2020-03-06T04:33:03Z,0,0,0,-12.4634,130.8456
"Lackland, TX (From Diamond Princess)",US,2020-02-24T23:33:02Z,0,0,0,29.3829,-98.6134
"Montgomery County, TX",US,2020-03-07T19:53:02Z,0,0,0,30.3213,-95.4778
"Omaha, NE (From Diamond Princess)",US,2020-02-24T23:33:02Z,0,0,0,41.2545,-95.9758
"Travis, CA (From Diamond Princess)",US,2020-02-24T23:33:02Z,0,0,0,38.2721,-121.9399
